0.000000, 0.000000
0.050000, 0.678683
0.100000, 0.971491
0.150000, 1.136893
0.200000, 1.237867
0.250000, 1.303372
0.300000, 1.348387
0.350000, 1.380887
0.400000, 1.405318
0.450000, 1.424293
0.500000, 1.439428
0.550000, 1.451765
0.600000, 1.462007
0.650000, 1.470641
0.700000, 1.478015
0.750000, 1.484384
0.800000, 1.489940
0.850000, 1.494828
0.900000, 1.499162
0.950000, 1.503029
1.000000, 1.506502
1.050000, 1.509637
1.100000, 1.512482
1.150000, 1.515074
1.200000, 1.517446
1.250000, 1.519625
1.300000, 1.521633
1.350000, 1.523490
1.400000, 1.525212
1.450000, 1.526814
1.500000, 1.528306
1.550000, 1.529701
1.600000, 1.531007
1.650000, 1.532233
1.700000, 1.533386
1.750000, 1.534472
1.800000, 1.535497
1.850000, 1.536465
1.900000, 1.537382
1.950000, 1.538251
2.000000, 1.539076
