0.000000, 0.000000, 0.008532, 0.000000
0.125664, 0.025517, 0.033705, 0.025841
0.251327, 0.099841, 0.106064, 0.100531
0.376991, 0.210823, 0.211624, 0.211987
0.502655, 0.325456, 0.315006, 0.327188
0.628319, 0.375644, 0.345297, 0.377653
0.753982, 0.241643, 0.181453, 0.242343
0.879646, -0.254494, -0.347731, -0.259386
1.005310, -1.305718, -1.406988, -1.323340
1.130973, -2.947343, -2.968131, -2.980637
1.256637, -4.679002, -4.454240, -4.703782
1.382301, -5.031509, -4.443091, -4.970487
1.507964, -1.907168, -1.267570, -1.693250
1.633628, 4.828296, 4.462034, 4.976627
1.759292, 9.163729, 7.104076, 8.641537
1.884956, 1.662685, 0.521355, 0.809303
2.010619, -11.597977, -7.789054, -10.282852
2.136283, -3.336918, -1.136668, -1.450610
2.261947, 15.348868, 7.399368, 10.669564
2.387610, -7.803844, -3.685768, -5.891595
2.513274, -7.441181, -1.535941, -1.951781
2.638938, 18.046957, 3.108926, 4.727707
2.764602, -22.708674, -1.958889, -3.117365
2.890265, 25.059250, -0.075847, -0.136180
3.015929, -26.947436, 2.169194, 3.442987
3.141593, 24.597398, -3.228527, -4.764284
3.267256, -7.937702, 0.588289, 0.316996
3.392920, -24.509960, 6.032867, 8.918931
3.518584, 31.081768, -5.838934, -7.816649
3.644247, 25.754546, -5.844445, -7.050737
3.769911, -16.565226, 1.387794, 2.247508
3.895575, -41.437830, 3.461753, 4.147359
4.021239, -48.446938, 1.422072, 1.576539
4.146902, -51.507159, -1.544411, -1.702869
4.272566, -49.190172, -3.560146, -4.372518
4.398230, -17.845792, -0.701654, -1.525750
4.523893, 48.369706, 7.101418, 9.132236
4.649557, 35.859542, 2.719581, 3.405753
4.775221, -68.251715, -5.779286, -8.591516
4.900885, 56.577545, 2.595226, 4.309117
5.026548, -52.613848, 0.686393, 1.197038
5.152212, 71.247025, -4.286312, -6.783843
5.277876, -78.047880, 5.726171, 7.858136
5.403539, -10.781563, 2.946864, 3.881187
5.529203, 84.714661, -5.438378, -7.100174
5.654867, 88.954450, -3.852846, -4.271318
5.780530, 81.292693, 0.243516, 0.233628
5.906194, 99.383662, 4.399203, 5.010248
6.031858, 93.197153, 4.888620, 6.634600
6.157522, -45.780117, -5.097847, -7.225417
