-3.141593, -4.103714, -4.604869
-2.932153, 2.170645, -0.966534
-2.722714, 4.977247, 3.573946
-2.513274, 2.328914, 3.653080
-2.303835, -1.792903, 0.268005
-2.094395, -3.737852, -2.765378
-1.884956, -2.997470, -3.367661
-1.675516, -1.019497, -2.008483
-1.466077, 0.735399, -0.142049
-1.256637, 1.642575, 1.188987
-1.047198, 1.772638, 1.707606
-0.837758, 1.459955, 1.616296
-0.628319, 1.002744, 1.231349
-0.418879, 0.562284, 0.782514
-0.209440, 0.178662, 0.370473
-0.000000, -0.178662, 0.000000
0.209440, -0.562284, -0.370473
0.418879, -1.002744, -0.782514
0.628319, -1.459955, -1.231349
0.837758, -1.772638, -1.616296
1.047198, -1.642575, -1.707606
1.256637, -0.735399, -1.188987
1.466077, 1.019497, 0.142049
1.675516, 2.997470, 2.008483
1.884956, 3.737852, 3.367661
2.094395, 1.792903, 2.765378
2.303835, -2.328914, -0.268005
2.513274, -4.977247, -3.653080
2.722714, -2.170645, -3.573946
2.932153, 4.103714, 0.966534
